0.336689342,2,2
0.975238095,3,3
1.613786848,4,4
2.252335600,1,1
2.890884353,2,2
3.529433106,3,3
4.167981859,4,4
4.806530612,1,1
5.445079365,2,2
6.083628117,3,3
6.733786848,4,4
7.360725623,1,1
7.999274376,2,2
8.637823129,3,3
9.276371882,4,4
9.914920634,1,1
10.611519274,2,2
11.238458049,3,3
11.865396825,4,4
12.480725623,1,1
13.119274376,2,2
13.769433106,3,3
14.396371882,4,4
15.023310657,1,1
15.673469387,2,2
16.265578231,3,3
16.938956916,4,4
17.600725623,1,1
18.227664399,2,2
18.889433106,3,3
19.539591836,4,4
20.178140589,1,1
20.793469387,2,2
21.420408163,3,3
22.058956916,4,4
22.674285714,1,1
23.312834467,2,2
23.951383219,3,3
24.589931972,4,4
25.228480725,1,1
25.948299319,2,2
26.656507936,3,3
27.411156462,4,4
28.142585034,1,1
28.897233560,2,2
29.651882086,3,3
30.313650793,4,4
31.010249433,1,1
31.637188208,2,2
32.298956916,3,3
32.925895691,4,4
33.541224489,1,1
34.168163265,2,2
34.806712018,3,3
35.468480725,4,4
36.118639455,1,1
36.745578231,2,2
37.395736961,3,3
38.034285714,4,4
38.661224489,1,1
39.299773242,2,2
39.915102040,3,3
40.553650793,4,4
41.192199546,1,1
41.830748299,2,2
42.469297052,3,3
43.119455782,4,4
43.746394557,1,1
44.384943310,2,2
45.046712018,3,3
45.685260770,4,4
46.312199546,1,1
46.927528344,2,2
47.542857142,3,3
48.204625850,4,4
48.878004535,1,1
49.516553287,2,2
50.166712018,3,3
50.793650793,4,4
51.432199546,1,1
52.047528344,2,2
52.686077097,3,3
53.324625850,4,4
53.951564625,1,1
54.578503401,2,2
55.228662131,3,3
55.867210884,4,4
56.505759637,1,1
57.155918367,2,2
57.806077097,3,3
58.433015873,4,4
59.059954648,1,1
59.698503401,2,2
60.348662131,3,3
60.975600907,4,4
61.614149659,1,1
62.252698412,2,2
62.902857142,3,3
63.529795918,4,4
64.168344671,1,1
64.806893424,2,2
65.457052154,3,3
66.083990929,4,4
66.722539682,1,1
67.361088435,2,2
67.999637188,3,3
68.626575963,4,4
69.276734693,1,1
69.915283446,2,2
70.565442176,3,3
71.192380952,4,4
71.830929705,1,1
72.469478458,2,2
73.108027210,3,3
73.734965986,4,4
74.373514739,1,1
75.023673469,2,2
75.673832199,3,3
76.300770975,4,4
76.927709750,1,1
77.566258503,2,2
78.216417233,3,3
78.843356009,4,4
79.481904761,1,1
80.120453514,2,2
80.770612244,3,3
81.409160997,4,4
82.047709750,1,1
82.686258503,2,2
83.324807256,3,3
83.951746031,4,4
84.590294784,1,1
85.228843537,2,2
85.879002267,3,3
86.505941043,4,4
87.144489795,1,1
87.783038548,2,2
88.433197278,3,3
89.060136054,4,4
89.698684807,1,1
90.348843537,2,2
90.999002267,3,3
91.625941043,4,4
92.252879818,1,1
92.914648526,2,2
93.541587301,3,3
94.168526077,4,4
94.807074829,1,1
95.445623582,2,2
96.095782312,3,3
96.734331065,4,4
97.361269841,1,1
97.999818594,2,2
98.649977324,3,3
99.276916099,4,4
99.938684807,1,1
100.565623582,2,2
101.204172335,3,3
101.831111111,4,4
102.469659863,1,1
103.108208616,2,2
103.758367346,3,3
104.385306122,4,4
105.023854875,1,1
105.662403628,2,2
106.312562358,3,3
106.939501133,4,4
107.566439909,1,1
108.216598639,2,2
108.866757369,3,3
109.493696145,4,4
110.120634920,1,1
110.759183673,2,2
111.409342403,3,3
112.036281179,4,4
112.674829931,1,1
113.313378684,2,2
113.963537414,3,3
114.590476190,4,4
115.229024943,1,1
115.879183673,2,2
116.517732426,3,3
117.144671201,4,4
117.783219954,1,1
118.433378684,2,2
119.083537414,3,3
119.710476190,4,4
120.349024943,1,1
120.987573696,2,2
121.626122448,3,3
122.253061224,4,4
122.891609977,1,1
123.530158730,2,2
124.168707482,3,3
124.807256235,4,4
125.445804988,1,1
126.084353741,2,2
126.734512471,3,3
127.361451247,4,4
128.000000000,1,1
128.661768707,2,2
129.288707482,3,3
129.915646258,4,4
130.554195011,1,1
131.192743764,2,2
131.842902494,3,3
132.469841269,4,4
133.096780045,1,1
133.735328798,2,2
134.385487528,3,3
135.024036281,4,4
135.674195011,1,1
136.301133786,2,2
136.951292517,3,3
137.578231292,4,4
138.205170068,1,1
138.843718820,2,2
139.493877551,3,3
140.132426303,4,4
140.759365079,1,1
141.397913832,2,2
142.048072562,3,3
142.675011337,4,4
143.313560090,1,1
143.952108843,2,2
144.602267573,3,3
145.229206349,4,4
145.867755102,1,1
146.506303854,2,2
147.156462585,3,3
147.783401360,4,4
148.421950113,1,1
149.060498866,2,2
149.710657596,3,3
150.337596371,4,4
150.976145124,1,1
151.614693877,2,2
152.264852607,3,3
152.891791383,4,4
153.576780045,1,1
154.261768707,2,2
154.946757369,3,3
155.608526077,4,4
156.212244897,1,1
156.827573696,2,2
157.431292517,3,3
158.035011337,4,4
158.650340136,1,1
159.288888888,2,2
159.927437641,3,3
160.565986394,4,4
161.216145124,1,1
161.854693877,2,2
162.481632653,3,3
163.120181405,4,4
163.758730158,1,1
164.385668934,2,2
165.024217687,3,3
165.674376417,4,4
166.301315192,1,1
166.939863945,2,2
167.590022675,3,3
168.216961451,4,4
168.867120181,1,1
169.505668934,2,2
170.132607709,3,3
170.771156462,4,4
171.409705215,1,1
172.048253968,2,2
172.698412698,3,3
173.336961451,4,4
173.963900226,1,1
174.602448979,2,2
175.252607709,3,3
175.879546485,4,4
176.518095238,1,1
177.156643990,2,2
177.795192743,3,3
178.422131519,4,4
179.060680272,1,1
179.687619047,2,2
180.349387755,3,3
180.987936507,4,4
181.614875283,1,1
182.241814058,2,2
182.891972789,3,3
183.530521541,4,4
184.169070294,1,1
184.807619047,2,2
185.446167800,3,3
186.084716553,4,4
186.723265306,1,1
187.361814058,2,2
188.011972789,3,3
188.650521541,4,4
189.277460317,1,1
189.916009070,2,2
190.566167800,3,3
191.216326530,4,4
191.854875283,1,1
192.470204081,2,2
193.108752834,3,3
193.747301587,4,4
194.374240362,1,1
195.024399092,2,2
195.674557823,3,3
196.301496598,4,4
196.940045351,1,1
197.590204081,2,2
198.217142857,3,3
198.844081632,4,4
199.482630385,1,1
200.132789115,2,2
200.771337868,3,3
201.421496598,4,4
202.036825396,1,1
202.686984126,2,2
203.337142857,3,3
203.952471655,4,4
204.567800453,1,1
205.217959183,2,2
205.868117913,3,3
206.506666666,4,4
207.133605442,1,1
207.772154195,2,2
208.410702947,3,3
209.049251700,4,4
209.699410430,1,1
210.337959183,2,2
210.988117913,3,3
211.615056689,4,4
212.265215419,1,1
212.880544217,2,2
213.530702947,3,3
214.180861678,4,4
214.807800453,1,1
215.457959183,2,2
216.108117913,3,3
216.723446712,4,4
217.361995464,1,1
218.000544217,2,2
218.650702947,3,3
219.277641723,4,4
219.916190476,1,1
220.554739229,2,2
221.193287981,3,3
221.831836734,4,4
222.470385487,1,1
223.097324263,2,2
223.747482993,3,3
224.386031746,4,4
225.036190476,1,1
225.663129251,2,2
226.301678004,3,3
226.928616780,4,4
227.567165532,1,1
228.217324263,2,2
228.855873015,3,3
229.494421768,4,4
230.132970521,1,1
230.759909297,2,2
231.421678004,3,3
232.048616780,4,4
232.687165532,1,1
233.325714285,2,2
233.975873015,3,3
234.602811791,4,4
235.241360544,1,1
235.879909297,2,2
236.518458049,3,3
237.145396825,4,4
237.795555555,1,1
238.422494331,2,2
239.072653061,3,3
239.699591836,4,4
240.338140589,1,1
240.976689342,2,2
241.626848072,3,3
242.253786848,4,4
242.892335600,1,1
243.530884353,2,2
244.181043083,3,3
244.807981859,4,4
245.446530612,1,1
246.085079365,2,2
246.735238095,3,3
247.362176870,4,4
248.000725623,1,1
248.639274376,2,2
249.277823129,3,3
249.916371882,4,4
250.554920634,1,1
251.193469387,2,2
251.820408163,3,3
252.458956916,4,4
253.097505668,1,1
253.747664399,2,2
254.397823129,3,3
255.036371882,4,4
255.674920634,1,1
256.313469387,2,2
256.963628117,3,3
257.602176870,4,4
258.240725623,1,1
258.879274376,2,2
259.517823129,3,3
260.167981859,4,4
260.806530612,1,1
261.456689342,2,2
